交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
2018-04-02 11:08:08,wxab8acb865bb1637e,11473623,0,123,4200000056201804020502490691,B779DE7BCEE943F2B9B68831BF07C310,oHkLxt4PzjjyD5Kh3rYZHrL7x1W8,MICROPAY,SUCCESS,CFT,CNY,0.01,0.00,0,0,0.00,0.00,,,123,,0.00000,0.00%
2018-04-02 11:24:24,wxab8acb865bb1637e,11473623,0,123,4200000056201804020515176105,A0F30858BD4E43009DF000A78015BA2E,oHkLxt4PzjjyD5Kh3rYZHrL7x1W8,MICROPAY,SUCCESS,CFT,CNY,0.01,0.00,0,0,0.00,0.00,,,123,,0.00000,0.00%
2018-04-02 13:35:46,wxab8acb865bb1637e,11473623,0,123,4200000060201804020542944629,8F01FAEB01DE4AD286315DB2A8FF4E07,oHkLxt4PzjjyD5Kh3rYZHrL7x1W8,MICROPAY,SUCCESS,CFT,CNY,0.01,0.00,0,0,0.00,0.00,,,123,,0.00000,0.00%
2018-04-02 11:30:23,wxab8acb865bb1637e,11473623,0,123,4200000063201804020538045770,19ED51AB100A4C4081E91A6490B33296,oHkLxt4PzjjyD5Kh3rYZHrL7x1W8,MICROPAY,SUCCESS,CFT,CNY,0.01,0.00,0,0,0.00,0.00,,,123,,0.00000,0.00%
2018-04-02 13:52:52,wxab8acb865bb1637e,11473623,0,123,4200000070201804020592972495,CDC5A42180C3416FB48E166906A62C7F,oHkLxt4PzjjyD5Kh3rYZHrL7x1W8,MICROPAY,SUCCESS,CFT,CNY,0.01,0.00,0,0,0.00,0.00,,,123,,0.00000,0.00%
2018-04-02 18:01:33,wxab8acb865bb1637e,11473623,0,testDevice,4200000070201804020704084757,4579220180402060126,oHkLxt47HC3v3vxgIwl9xK7dUsOw,MICROPAY,SUCCESS,CFT,CNY,0.01,0.00,0,0,0.00,0.00,,,测试,,0.00000,0.00%
2018-04-02 16:18:11,wxab8acb865bb1637e,11473623,0,,4200000081201804020673628912,5a941438364e11e880c1408d5c831cbf,oHkLxt-7senB_0zPHuzETPLks9jA,NATIVE,SUCCESS,CFT,CNY,0.01,0.00,0,0,0.00,0.00,,,跨省电子交易认证开通交易,,0.00000,0.00%
2018-04-02 16:35:08,wxab8acb865bb1637e,11473623,0,123,4200000081201804020730555569,224776FE50EA4DEF8D8F621FC59373AF,oHkLxt4PzjjyD5Kh3rYZHrL7x1W8,NATIVE,SUCCESS,CFT,CNY,0.01,0.00,0,0,0.00,0.00,,,123,,0.00000,0.00%
2018-04-02 15:57:11,wxab8acb865bb1637e,11473623,0,,4200000082201804020703208206,6a0acaa9364b11e880c1408d5c831cbf,oHkLxt-7senB_0zPHuzETPLks9jA,NATIVE,SUCCESS,CFT,CNY,0.01,0.00,0,0,0.00,0.00,,,跨省电子交易认证开通交易,,0.00000,0.00%
2018-04-02 13:32:48,wxab8acb865bb1637e,11473623,0,,4200000083201804020574183424,3fadca6a363711e880c1408d5c831cbf,oHkLxt-7senB_0zPHuzETPLks9jA,NATIVE,SUCCESS,CFT,CNY,0.01,0.00,0,0,0.00,0.00,,,跨省电子交易认证开通交易,,0.00000,0.00%
